Date,Open,High,Low,Close,Adj Close,Volume
2010-07-08,1185.002563,1185.002563,1149.452515,1185.002563,829.881897,39184512
2010-07-09,1220.552734,1220.552734,1173.152588,1220.552734,854.778442,77745609
2010-07-12,1267.952759,1279.802856,1220.552734,1267.952759,887.973755,126640016
2010-07-13,1256.102783,1279.802856,1244.252686,1256.102783,879.674927,25891293
2010-07-14,1267.952759,1279.802856,1244.252686,1267.952759,887.973755,34178194
2010-07-15,1256.102783,1267.952759,1208.702637,1256.102783,879.674927,17510510
2010-07-16,1350.902954,1350.902954,1244.252686,1350.902954,946.065247,112068318
2010-07-19,1350.902954,1374.603027,1303.502808,1350.902954,946.065247,42346953
2010-07-20,1362.753052,1362.753052,1339.052979,1362.753052,954.364258,17364940
2010-07-21,1350.902954,1386.453003,1339.052979,1350.902954,946.065247,35442960
2010-07-22,1398.303101,1398.303101,1315.352905,1398.303101,979.260803,98625310
2010-07-23,1386.453003,1422.003174,1374.603027,1386.453003,970.961914,50326893
2010-07-26,1362.753052,1410.153076,1362.753052,1362.753052,954.364258,64135934
2010-07-27,1410.153076,1410.153076,1374.603027,1410.153076,987.559692,56887005
2010-07-28,1422.003174,1433.853149,1398.303101,1422.003174,995.858459,66748798
2010-07-29,1457.553223,1457.553223,1410.153076,1457.553223,1020.754883,55264646
2010-07-30,1433.853149,1469.403198,1422.003174,1433.853149,1004.157166,34414481
2010-08-02,1422.003174,1445.703125,1398.303101,1422.003174,995.858459,36687683
2010-08-03,1386.453003,1445.703125,1362.753052,1386.453003,970.961914,50575838
2010-08-04,1410.153076,1410.153076,1374.603027,1410.153076,987.559692,56352196
2010-08-05,1422.003174,1433.853149,1398.303101,1422.003174,995.858459,20030546
2010-08-06,1422.003174,1433.853149,1410.153076,1422.003174,995.858459,21625479
2010-08-09,1422.003174,1433.853149,1410.153076,1422.003174,995.858459,6685639
2010-08-10,1410.153076,1433.853149,1398.303101,1410.153076,987.559692,22072736
2010-08-11,1422.003174,1445.703125,1410.153076,1422.003174,995.858459,63070536
2010-08-12,1422.003174,1422.003174,1422.003174,1422.003174,995.858459,63070536
2010-08-13,1493.103271,1493.103271,1445.703125,1493.103271,1045.651245,144358332
2010-08-16,1540.503418,1552.353394,1469.403198,1540.503418,1078.846313,133943798
2010-08-18,1552.353394,1564.203491,1540.503418,1552.353394,1087.145264,59302612
2010-08-19,1564.203491,1576.053467,1540.503418,1564.203491,1095.444092,36703505
2010-08-20,1599.753540,1599.753540,1552.353394,1599.753540,1120.340576,44091675
2010-08-23,1599.753540,1599.753540,1564.203491,1599.753540,1120.340576,36147599
2010-08-24,1623.453613,1647.153564,1576.053467,1623.453613,1136.938110,60643326
2010-08-25,1623.453613,1635.303589,1587.903442,1623.453613,1136.938110,21638138
2010-08-26,1635.303589,1635.303589,1611.603516,1635.303589,1145.237061,42272058
2010-08-27,1623.453613,1635.303589,1611.603516,1623.453613,1136.938110,49031537
2010-08-30,1623.453613,1647.153564,1611.603516,1623.453613,1136.938110,30799510
2010-08-31,1647.153564,1647.153564,1599.753540,1647.153564,1153.535889,85819431
